"n_pokoj","metraz","cena_m2","rok","pietro","pietro_maks","dzielnica"
3,89,5270,2007,2,2,"Krzyki"
4,163,6687,2002,2,2,"Psie Pole"
3,52,6731,1930,1,2,"Srodmiescie"
4,95.03,5525,2016,1,2,"Krzyki"
4,88,5216,1930,3,4,"Srodmiescie"
2,50,5600,1915,3,4,"Krzyki"
2,48,9146,2010,2,6,"Fabryczna"
2,46,9761,2011,4,6,"Stare Miasto"
3,67,5209,1990,1,10,"Fabryczna"
2,45.8,6878,2000,3,4,"Krzyki"
3,76,8684,1930,0,0,"Psie Pole"
1,24.5,6327,2016,3,3,"Krzyki"
2,47.41,3586,1930,1,3,"Krzyki"
3,65,5369,1990,8,10,"Psie Pole"
1,30,8100,2003,0,0,"Krzyki"
1,22,8409,1989,2,4,"Krzyki"
1,27,8111,2016,0,0,"Fabryczna"
2,39.36,5716,1970,2,4,"Fabryczna"
3,47,6340,1980,5,6,"Srodmiescie"
3,52,6154,1930,3,4,"Fabryczna"
3,51,5882,1985,1,10,"Krzyki"
3,63,6968,1930,0,0,"Srodmiescie"
2,36,5972,1985,8,11,"Fabryczna"
3,68.41,6870,2013,0,0,"Krzyki"
1,26.5,7358,1983,4,10,"Psie Pole"
4,80,5363,1995,7,7,"Fabryczna"
2,47.7,4591,1980,3,4,"Psie Pole"
3,56.78,6675,1975,1,2,"Fabryczna"
2,45.07,5303,1955,3,4,"Srodmiescie"
3,95.34,4277,2015,1,2,"Fabryczna"
3,94.86,4671,2015,1,2,"Fabryczna"
2,47,6064,1936,0,0,"Psie Pole"
2,55,5000,2005,0,0,"Psie Pole"
2,33,6909,1980,8,11,"Fabryczna"
4,87.8,4897,2011,3,3,"Krzyki"
3,66.7,5232,1935,1,2,"Psie Pole"
2,49.69,5937,2009,4,6,"Psie Pole"
3,51.63,7341,1936,1,1,"Srodmiescie"
3,64,5781,1981,3,4,"Fabryczna"
4,90,5322,1997,0,0,"Krzyki"
2,53,5264,2007,2,3,"Krzyki"
4,95,4621,1920,4,4,"Srodmiescie"
4,80,5875,2006,3,3,"Fabryczna"
1,25,5160,2017,1,2,"Fabryczna"
2,55,6364,2016,4,12,"Fabryczna"
1,37.2,5780,2011,0,0,"Fabryczna"
2,42.74,6294,1904,4,4,"Krzyki"
2,54,4796,1930,4,5,"Krzyki"
3,67,5806,1986,1,10,"Krzyki"
3,58.63,6976,2016,10,14,"Fabryczna"
3,54,6185,1978,5,10,"Srodmiescie"
2,55,5436,2005,1,3,"Krzyki"
3,66.41,6385,2016,7,14,"Fabryczna"
3,60.64,6580,2016,11,14,"Fabryczna"
2,52.5,7600,2008,1,6,"Psie Pole"
3,63.7,5102,1980,5,8,"Fabryczna"
3,49,6918,1981,4,4,"Srodmiescie"
2,34,6735,1908,3,4,"Srodmiescie"
2,45.9,5817,2016,0,0,"Fabryczna"
4,94,8500,2015,6,6,"Srodmiescie"
4,113,6628,1910,3,5,"Srodmiescie"
3,90,7211,1927,1,5,"Srodmiescie"
3,68,6765,1937,0,0,"Krzyki"
3,94,4894,2010,3,3,"Krzyki"
2,52,5192,1920,2,2,"Psie Pole"
3,106,5755,1901,1,5,"Srodmiescie"
2,57,8754,2015,2,4,"Krzyki"
3,90,7544,2013,2,5,"Stare Miasto"
2,37.18,6186,2017,1,3,"Krzyki"
3,63.3,4408,1930,0,0,"Psie Pole"
2,54.03,4979,1930,4,5,"Fabryczna"
3,59.2,5895,1935,0,0,"Srodmiescie"
1,31.7,7413,2003,3,6,"Krzyki"
2,55.6,5306,2006,2,2,"Krzyki"
2,32.84,7004,1935,0,0,"Krzyki"
2,34.5,7681,1970,6,11,"Krzyki"
3,75.7,5205,2008,2,2,"Krzyki"
3,59.6,4530,1925,3,3,"Psie Pole"
3,74.25,4916,1960,3,4,"Stare Miasto"
2,62,7403,1900,2,4,"Stare Miasto"
4,45,8444,1900,2,4,"Stare Miasto"
1,40,7175,1950,3,5,"Stare Miasto"
1,27.66,5242,2017,2,2,"Psie Pole"
2,45,5889,2008,2,2,"Psie Pole"
3,50,5900,1975,6,10,"Krzyki"
3,75.2,5306,1999,2,3,"Krzyki"
3,62.5,5120,1985,9,10,"Krzyki"
2,47.3,6871,2012,1,3,"Krzyki"
2,49.16,5879,2001,5,7,"Psie Pole"
2,42,6643,2001,0,0,"Fabryczna"
3,46.85,8517,1965,2,4,"Srodmiescie"
2,50.55,6330,1950,3,5,"Stare Miasto"
3,64.9,7473,1996,3,6,"Srodmiescie"
3,64,5063,2008,3,3,"Krzyki"
3,41,8512,1968,1,4,"Stare Miasto"
2,64,7172,2004,3,4,"Srodmiescie"
4,105,4943,2000,6,8,"Krzyki"
2,52,6904,2000,1,8,"Krzyki"
3,65.4,7416,1997,3,5,"Srodmiescie"
4,66.6,5706,1991,5,5,"Krzyki"
2,62.3,5570,1906,0,0,"Srodmiescie"
2,40.48,7411,1930,0,0,"Fabryczna"
2,38.38,9380,2012,0,0,"Krzyki"
2,52.1,6142,1990,1,5,"Srodmiescie"
2,54,10185,2008,4,8,"Stare Miasto"
3,65,5615,1995,3,5,"Srodmiescie"
2,48.42,5721,2005,1,3,"Krzyki"
3,52.4,6489,1950,1,5,"Fabryczna"
4,79.1,4235,1985,4,4,"Fabryczna"
4,69.95,4861,2008,1,2,"Psie Pole"
2,46.2,7338,1904,1,4,"Srodmiescie"
3,58,5155,1930,4,5,"Krzyki"
